agency_id,route_color,route_desc,route_id,route_long_name,route_short_name,route_text_color,route_type,route_url
nmbssncb,016AB3,"",gr:nmbssncb:100,Gand-Dampoort -- Eeklo,L,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:1005,Bruxelles-Midi -- Genk,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:1010,Bruxelles-Midi -- La Panne,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:1016,Gand-Saint-Pierre -- Wetteren,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:1021,Genk -- Alost,IC,FFFFFF,2,""
nmbssncb,F3610A,"",gr:nmbssncb:1027,Hal -- Louvain,S2,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:1038,Statte -- Namur,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:1043,Liers -- Mouscron,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:1049,Liers -- Saint-Ghislain,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:1054,Liège-Saint-Lambert -- Mouscron,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:106,Merelbeke -- Grammont,L,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:1065,Herstal -- Tamines,IC,FFFFFF,2,""
nmbssncb,0095CD,"",gr:nmbssncb:1071,Louvain-la-Neuve -- Audenarde,S8,FFFFFF,2,""
nmbssncb,0095CD,"",gr:nmbssncb:1076,Louvain-la-Neuve -- Bruxelles-Midi,S8,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:108,Vilvorde -- Bruxelles-Midi,L,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:1102,De Pinte -- Courtrai,IC,FFFFFF,2,""
nmbssncb,006033,"",gr:nmbssncb:1104,Charleroi-Central -- Tamines,S61,FFFFFF,2,""
nmbssncb,F16123,"",gr:nmbssncb:1116,Luttre -- Pont-à-Celles,S62,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:1119,Lierre -- Hamont,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:1123,Anvers-Central -- Zonhoven,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:1127,La Louvière-Sud -- Braine-le-Comte,L,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:1132,Verviers-Central -- Ostende,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:1138,Anvers-Central -- Zonhoven,TRN,FFFFFF,2,""
