table_name,field_name,record_id,record_sub_id,field_value,language,translation
stops,stop_name,"","",Beverlo,de,Beverlo
stops,stop_name,"","",Messancy,de,Messancy
stops,stop_name,"","",Mérode,de,Merode / Mérode
stops,stop_name,"","",Frankfurt Flugh (DE),de,Frankfurt Flugh (DE)
stops,stop_name,"","",Merchtem,de,Merchtem
stops,stop_name,"","",Wezemaal,de,Wezemaal
stops,stop_name,"","",Melreux-Hotton,de,Melreux-Hotton
stops,stop_name,"","",Tielt,de,Tielt
stops,stop_name,"","",Melle,de,Melle
stops,stop_name,"","",Meiser,de,Meiser
stops,stop_name,"","",Geel,de,Geel
stops,stop_name,"","",Wevelgem,de,Wevelgem
stops,stop_name,"","",Marloie,de,Marloie
stops,stop_name,"","",Gendron-Celles,de,Gendron-Celles
stops,stop_name,"","",Thuin,de,Thuin
stops,stop_name,"","",Mariembourg,de,Mariembourg
stops,stop_name,"","",Genk,de,Genk
stops,stop_name,"","",Blandain-Frontière,de,Blandain-Frontière
stops,stop_name,"","",Maria-Aalter,de,Maria-Aalter
stops,stop_name,"","",Genly,de,Genly
stops,stop_name,"","",Anvers-Sud,de,Antwerpen-Zuid / Anvers-Sud
stops,stop_name,"","",Marchienne-Zone,de,Marchienne-Zone
stops,stop_name,"","",Gentbrugge,de,Gentbrugge
stops,stop_name,"","",Thieu,de,Thieu
stops,stop_name,"","",Marchienne-au-Pont,de,Marchienne-au-Pont
stops,stop_name,"","",Genval,de,Genval
stops,stop_name,"","",Blankenberge,de,Blankenberge
stops,stop_name,"","",Marche-lez-Ecaussinnes,de,Marche-lez-Ecaussinnes
stops,stop_name,"","",Germoir,de,Mouterij / Germoir
stops,stop_name,"","",Zeebrugge-Strand,de,Zeebrugge-Strand
stops,stop_name,"","",Marche-les-Dames,de,Marche-les-Dames
stops,stop_name,"","",Ghlin,de,Ghlin
stops,stop_name,"","",Theux,de,Theux
stops,stop_name,"","",Marche-en-Famenne,de,Marche-en-Famenne
stops,stop_name,"","",Glons,de,Glaaien / Glons
stops,stop_name,"","",Blanmont,de,Blanmont
stops,stop_name,"","",Marbehan,de,Marbehan
stops,stop_name,"","",Godarville,de,Godarville
stops,stop_name,"","",Wetteren,de,Wetteren
stops,stop_name,"","",Manage,de,Manage
stops,stop_name,"","",Godinne,de,Godinne
stops,stop_name,"","",Testelt,de,Testelt
stops,stop_name,"","",Mamer-Lycée (LU),de,Mamer-Lycée (LU)
stops,stop_name,"","",GOEBELSMUHLE,de,GOEBELSMUHLE
stops,stop_name,"","",Blaton,de,Blaton
stops,stop_name,"","",Mamer (LU),de,Mamer (LU)
stops,stop_name,"","",Gontrode,de,Gontrode
stops,stop_name,"","",Anzegem,de,Anzegem
stops,stop_name,"","",Malines-Nekkerspoel,de,Mechelen-Nekkerspoel / Malines-Nekkerspoel
stops,stop_name,"","",Gouvy,de,Gouvy
stops,stop_name,"","",Ternat,de,Ternat
stops,stop_name,"","",Aachen Hbf (DE),de,Aachen HBF (DE)
stops,stop_name,"","",Bilzen,de,Bilzen
stops,stop_name,"","",Mazy,de,Mazy
stops,stop_name,"","",Maubray,de,Maubray
stops,stop_name,"","",Maubeuge (FR),de,Maubeuge (FR)
stops,stop_name,"","",Gouvy-Frontière,de,Gouvy-Frontière
stops,stop_name,"","",Graide,de,Graide
stops,stop_name,"","",Bockstael,de,Bockstael
stops,stop_name,"","",Groenendaal,de,Groenendaal
stops,stop_name,"","",Terhagen,de,Terhagen
stops,stop_name,"","",Luxembourg (LU),de,Luxemburg (LU)
