location_type,parent_station,platform_code,stop_code,stop_desc,stop_id,stop_lat,stop_lon,stop_name,stop_url,wheelchair_boarding,zone_id
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8822533,50.94425,4.66301,Hambos,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8843406,50.52828,5.21968,Statte,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8861333,50.5135,4.67583,Mazy,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811007,50.87851,4.37864,Schaerbeek,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811106,50.867784,4.400963,Evere,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811130,50.889694,4.415358,Haren-Sud,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811148,50.907496,4.417075,Buda,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811155,50.888879,4.41998,Haren,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811163,50.877787,4.410024,Bordet,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811171,50.854071,4.394424,Meiser,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811189,50.924581,4.432826,Vilvorde,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811197,50.839282,4.398932,Mérode,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811205,50.818362,4.403871,Delta,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811213,50.890481,4.442773,Diegem,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811221,50.88572,4.46989,Zaventem,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811247,50.88331,4.50611,Nossegem,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8893039,51.00281,3.79709,Melle,"",,
1,,,,NMBSSNCB  STATION,nmbssncb:s-baisieuxfr,50.6186,3.234699,Baisieux (FR),,,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8814142,50.773685,4.339434,Linkebeek,"",,
1,,,,NMBSSNCB  STATION,nmbssncb:s-heerlen,50.890946,5.974577,Heerlen,,,
0,gs:nmbssncb:S8882206,BUS,"",NMBSSNCB  PLATFORM,gs:nmbssncb:8882206_BUS,50.464976,4.190611,La Louvière-Sud,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8814159,50.767628,4.353956,Holleken,"",,
0,gs:nmbssncb:S8895505,DSP 485,"",NMBSSNCB  PLATFORM,gs:nmbssncb:8895505_DSP 485,50.771135,3.872326,Grammont,"",,
0,gs:nmbssncb:S8896800,3,"",NMBSSNCB  PLATFORM,gs:nmbssncb:8896800_3,50.949029,3.130415,Roulers,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811254,50.89307,4.5433,Kortenberg,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811262,50.89651,4.585,Erps-Kwerps,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811270,50.90052,4.63352,Veltem,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811288,50.90353,4.67219,Herent,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811304,50.83894,4.373676,Bruxelles-Luxembourg,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811403,50.83,4.379444,Germoir,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811411,50.822191,4.389517,Etterbeek,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811429,50.809175,4.399885,Watermael,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811437,50.794698,4.408114,Boitsfort,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811445,50.766103,4.44949,Groenendaal,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811460,50.76016,4.46741,Hoeilaart,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811510,50.73796,4.49706,La Hulpe,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811528,50.725697,4.514834,Genval,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811536,50.71141,4.53286,Rixensart,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811544,50.699653,4.545435,Profondsart,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811601,50.67367,4.56936,Ottignies,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811635,50.69214,4.5753,Limal,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811676,50.669795,4.615746,Louvain-la-Neuve,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811718,50.70777,4.59475,Bierges-Walibi,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811726,50.71627,4.60478,Wavre,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811734,50.724421,4.621653,Basse-Wavre,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811742,50.73665,4.6496,Gastuche,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811759,50.754347,4.662441,Archennes,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811767,50.7615,4.65387,Florival,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811775,50.778516,4.651483,Pécrot,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811817,50.659944,4.569049,Céroux-Mousty,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811825,50.64557,4.56582,Court-Saint-Etienne,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811916,50.84328,4.380725,Bruxelles-Schuman,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8811940,50.8179,4.2918,Anderlecht,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8812005,50.85966,4.36085,Bruxelles-Nord,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8812013,50.863645,4.328982,Simonis,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8812021,50.87943,4.34851,Bockstael,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8812047,50.880832,4.326218,Jette,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8812062,50.890032,4.274546,Zellik,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8812070,50.906485,4.207988,Asse,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8812112,50.933475,4.216967,Mollem,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8812120,50.954954,4.222719,Merchtem,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8812146,50.974776,4.187317,Opwijk,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8812153,50.989597,4.156174,Heizijde,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8812161,51.005008,4.134372,Lebbeke,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8812211,50.872627,4.289892,Berchem-Sainte-Agathe,"",,
1,,"","",NMBSSNCB  STATION,gs:nmbssncb:S8812229,50.868338,4.273542,Grand-Bigard,"",,
